release_date,genre_ids,id,title,popularity,vote_count,vote_average
7/7/2000,35.0,4247,Scary Movie,3.540818,921,5.9
1/1/2013,35.0,87818,Movie 43,3.277841,634,4.5
10/28/2007,10751.0,5559,Bee Movie,3.159467,864,5.7
5/11/2016,28.0,153518,The Angry Birds Movie,4.87021,723,5.8
2/8/2017,14.0,324849,The Lego Batman Movie,4.380192,466,7.2
11/17/2014,99.0,309810,Movie,1.002902,1,10.0
3/27/2008,28.0,11918,Superhero Movie,2.362795,230,4.8
2/6/2014,12.0,137106,The Lego Movie,3.922433,2535,7.5
4/13/2006,35.0,4257,Scary Movie 4,3.533498,499,5.2
11/5/2015,16.0,22797,The Peanuts Movie,3.33039,494,6.5
7/25/2007,16.0,35,The Simpsons Movie,3.176039,1599,6.9
8/27/2005,27.0,226,Snuff Movie,1.401068,4,2.8
2/5/2015,10751.0,2631,Shaun the Sheep Movie,3.087403,381,6.9
2/17/2006,35.0,10073,Date Movie,1.912144,154,3.6
11/25/2016,35.0,416252,Mischievous Kiss The Movie: High School,6.377825,1,1.0
11/14/2004,16.0,11836,The SpongeBob SquarePants Movie,3.068659,416,6.6
11/1/1978,35.0,85420,Movie Movie,1.009053,2,2.5
8/29/2008,28.0,13805,Disaster Movie,1.846657,174,3.1
4/11/2013,35.0,4258,Scary Movie 5,2.905127,619,4.5
7/4/2001,35.0,2355,Scary Movie 2,2.874928,648,5.4
3/31/2000,18.0,4247,Porno Movie,1.259538,6,5.0
2/29/2000,16.0,87818,An Extremely Goofy Movie,2.749146,86,6.0
1/25/2007,28.0,5559,Epic Movie,1.697648,227,3.2
10/24/2003,35.0,153518,Scary Movie 3,2.609712,612,5.6
12/5/2008,35.0,324849,Extreme Movie,1.615119,28,3.7
11/26/2016,16.0,309810,KanColle Movie,1.128219,0,0.0
6/17/1976,35.0,11918,Silent Movie,1.532313,59,6.8
1/1/1989,27.0,137106,Scary Movie,1.109647,3,4.7
9/16/2010,35.0,4257,Oki's Movie,1.199601,16,6.3
8/26/2003,16.0,22797,Stitch! The Movie,2.26767,78,6.3
12/7/2001,35.0,35,Not Another Teen Movie,2.243042,314,5.4
2/11/2000,16.0,226,The Tigger Movie,2.206732,107,6.3
12/4/2009,35.0,2631,Spanish Movie,1.429663,18,3.9
4/7/1995,10749.0,10073,A Goofy Movie,2.183912,281,6.7
10/21/2002,35.0,416252,Jackass: The Movie,2.116414,266,6.2
9/1/1989,35.0,2355,The Wizard of Speed and Time,1.000025,7,6.1
9/1/1989,35.0,87818,The Wizard of Speed and Time,1.000025,7,6.1
7/1/2016,35.0,324849,Absolutely Fabulous: The Movie,2.058412,59,5.5
6/24/2005,28.0,309810,Movie & Co,1.000446,1,6.0
8/8/1986,16.0,11918,The Transformers: The Movie,2.009775,107,7.1
2/11/2005,16.0,137106,Pooh's Heffalump Movie,1.714282,56,6.2
12/13/1985,35.0,4257,Clue: The Movie,1.988373,293,7.1
3/21/2010,28.0,22797,Iris: The Movie,1.913835,10,5.3
5/15/2015,35.0,35,Bollywood Movie: The Movie,1.003449,0,0.0
1/1/2008,35.0,226,Killer Movie,1.235313,13,6.5
8/8/2008,99.0,2631,The Movie Movie,1.000762,0,0.0
7/3/2015,16.0,416252,Haikyuu!! the Movie: Owari to Hajimari,3.628024,0,0.0
2/5/2015,10751.0,11836,The SpongeBob Movie: Sponge Out of Water,3.444089,581,5.7
9/11/2014,10751.0,85420,Maya the Bee Movie,1.835849,21,5.3
7/19/1985,35.0,13805,Otto - The Movie,1.196731,15,5.7
6/12/1974,9648.0,4258,Sweet Movie,1.215039,26,5.6
4/10/2009,35.0,2355,Hannah Montana: The Movie,1.823216,291,5.8
11/20/1998,16.0,4247,The Rugrats Movie,1.787312,104,5.7
5/5/2016,99.0,5559,My Scientology Movie,1.775261,69,6.7
7/18/2014,36.0,153518,Video Games: The Movie,1.774067,82,6.0
10/20/2005,35.0,324849,Sad Movie,1.110574,18,6.9
4/8/2013,35.0,309810,Paranormal Movie,1.168413,6,4.1
11/5/1999,99.0,11918,American Movie,1.165029,46,7.6
8/19/2011,35.0,137106,The Inbetweeners Movie,1.738726,277,6.2
4/25/2003,35.0,4257,The Lizzie McGuire Movie,1.714329,201,5.7
5/31/1979,12.0,22797,The Muppet Movie,1.71196,136,7.1
8/7/2015,28.0,35,Boruto: Naruto the Movie,1.705197,105,7.8
3/16/2003,16.0,226,Piglet's Big Movie,1.468433,47,6.0
8/12/2011,35.0,2631,The PHD movie,1.111871,5,6.7
10/24/2008,27.0,10073,Midnight Movie,1.127339,12,5.6
5/23/2014,12.0,416252,Postman Pat: The Movie,1.678113,14,5.1
1/23/2008,35.0,11836,The Best Movie,1.215872,7,2.7
4/6/2013,18.0,85420,The Rakugo Movie,1.21337,0,0.0
8/11/2011,99.0,13805,Glee: The Concert Movie,1.661574,61,6.5
6/24/1983,18.0,4258,Twilight Zone: The Movie,1.643298,105,6.3
7/29/2011,35.0,2355,Horrid Henry: The Movie,1.615615,18,6.9
1/26/2017,80.0,4247,Breaking Bad: The Movie,1.6,1,10.0
7/8/2000,12.0,87818,Pokémon: Spell of the Unown,1.596405,89,5.7
12/3/2014,10751.0,5559,Corner Gas: The Movie,1.166274,14,5.5
7/10/2008,18.0,324849,Home Movie,1.057151,28,5.3
3/13/1983,12.0,309810,Aesop's Fables Movie,1.00405,0,0.0
1/20/2001,28.0,11918,Shenmue: The Movie,1.000837,2,4.0
9/21/2017,28.0,4257,The LEGO Ninjago Movie,1.545166,2,0.0
4/27/2003,35.0,226,15: The Movie,1.022987,6,4.6
12/15/1977,99.0,2631,ABBA - The Movie,1.371999,12,6.3
7/14/1984,878.0,10073,Choudenshi Bioman: The Movie,1.123225,0,0.0
3/26/1999,16.0,416252,Doug's 1st Movie,1.319626,17,5.2
12/25/2013,10751.0,11836,Sune på bilsemester,1.115009,3,4.2
8/10/1978,53.0,85420,Blue Movie,1.0222,2,5.5
12/15/2007,16.0,2355,Tamagotchi: The Movie,1.004476,1,5.0
12/28/2012,99.0,4247,Genius - The Movie,1.003956,1,10.0
