release_date,genre_ids,id,title,popularity,vote_count,vote_average
7/7/2000,35,4247,Scary Movie,3.540818,921,5.9
1/1/2013,35,87818,Movie 43,3.277841,634,4.5
10/28/2007,10751,5559,Bee Movie,3.159467,864,5.7
5/11/2016,28,153518,The Angry Birds Movie,4.87021,723,5.8
2/8/2017,14,324849,The Lego Batman Movie,4.380192,466,7.2
11/17/2014,99,309810,Movie,1.002902,1,10
3/27/2008,28,11918,Superhero Movie,2.362795,230,4.8
2/6/2014,12,137106,The Lego Movie,3.922433,2535,7.5
4/13/2006,35,4257,Scary Movie 4,3.533498,499,5.2
11/5/2015,16,227973,The Peanuts Movie,3.33039,494,6.5
7/25/2007,16,35,The Simpsons Movie,3.176039,1599,6.9
8/27/2005,27,22619,Snuff Movie,1.401068,4,2.8
2/5/2015,10751,263109,Shaun the Sheep Movie,3.087403,381,6.9
2/17/2006,35,10073,Date Movie,1.912144,154,3.6
11/25/2016,35,416252,Mischievous Kiss The Movie: High School,6.377825,1,1
11/14/2004,16,11836,The SpongeBob SquarePants Movie,3.068659,416,6.6
11/1/1978,35,85420,Movie Movie,1.009053,2,2.5
8/29/2008,28,13805,Disaster Movie,1.846657,174,3.1
4/11/2013,35,4258,Scary Movie 5,2.905127,619,4.5
7/4/2001,35,4248,Scary Movie 2,2.874928,648,5.4
3/31/2000,18,125173,Porno Movie,1.259538,6,5
2/29/2000,16,15653,An Extremely Goofy Movie,2.749146,86,6
1/25/2007,28,9760,Epic Movie,1.697648,227,3.2
10/24/2003,35,4256,Scary Movie 3,2.609712,612,5.6
12/5/2008,35,15544,Extreme Movie,1.615119,28,3.7
11/26/2016,16,412383,KanColle Movie,1.128219,0,0
6/17/1976,35,10970,Silent Movie,1.532313,59,6.8
1/1/1989,27,4242,Scary Movie,1.109647,3,4.7
9/16/2010,35,86261,Oki's Movie,1.199601,16,6.3
8/26/2003,16,15567,Stitch! The Movie,2.26767,78,6.3
12/7/2001,35,11397,Not Another Teen Movie,2.243042,314,5.4
2/11/2000,16,15655,The Tigger Movie,2.206732,107,6.3
12/4/2009,35,35640,Spanish Movie,1.429663,18,3.9
4/7/1995,10749,15789,A Goofy Movie,2.183912,281,6.7
10/21/2002,35,9012,Jackass: The Movie,2.116414,266,6.2
5/26/2016,,409279,Tasty Movie,1.007909,0,0
1/2/1986,,333692,Night Movie,1.003038,0,0
1/1/1976,,431527,Movie Rush,1.000577,0,0
5/28/1929,,339648,Movie Night,1.000183,0,0
9/1/1989,35,44276,The Wizard of Speed and Time,1.000025,7,6.1
5/28/1929,,339648,Movie Night,1.000183,0,0
9/1/1989,35,44276,The Wizard of Speed and Time,1.000025,7,6.1
9/14/1983,,415904,Bitter Movie,1.000017,0,0
3/18/1990,,388515,Homemade Movie,1,0,0
7/1/2016,35,372411,Absolutely Fabulous: The Movie,2.058412,59,5.5
6/24/2005,28,423939,Movie & Co,1.000446,1,6
8/8/1986,16,1857,The Transformers: The Movie,2.009775,107,7.1
2/11/2005,16,13682,Pooh's Heffalump Movie,1.714282,56,6.2
12/13/1985,35,15196,Clue: The Movie,1.988373,293,7.1
3/21/2010,28,53656,Iris: The Movie,1.913835,10,5.3
5/15/2015,35,316977,Bollywood Movie: The Movie,1.003449,0,0
1/1/2008,35,14862,Killer Movie,1.235313,13,6.5
8/8/2008,99,410287,The Movie Movie,1.000762,0,0
,,419920,Horror Movie: The Movie,1,0,0
7/3/2015,16,347183,Haikyuu!! the Movie: Owari to Hajimari,3.628024,0,0
2/5/2015,10751,228165,The SpongeBob Movie: Sponge Out of Water,3.444089,581,5.7
9/11/2014,10751,261103,Maya the Bee Movie,1.835849,21,5.3
7/19/1985,35,9657,Otto - The Movie,1.196731,15,5.7
6/12/1974,9648,1559,Sweet Movie,1.215039,26,5.6
4/10/2009,35,18126,Hannah Montana: The Movie,1.823216,291,5.8
11/20/1998,16,14444,The Rugrats Movie,1.787312,104,5.7
3/7/2017,,444143,A Unique Movie,1.291598,0,0
5/5/2016,99,359871,My Scientology Movie,1.775261,69,6.7
7/18/2014,36,269100,Video Games: The Movie,1.774067,82,6
10/20/2005,35,18422,Sad Movie,1.110574,18,6.9
4/8/2013,35,185474,Paranormal Movie,1.168413,6,4.1
11/5/1999,99,14242,American Movie,1.165029,46,7.6
8/19/2011,35,69798,The Inbetweeners Movie,1.738726,277,6.2
4/25/2003,35,18736,The Lizzie McGuire Movie,1.714329,201,5.7
5/31/1979,12,11176,The Muppet Movie,1.71196,136,7.1
8/7/2015,28,347201,Boruto: Naruto the Movie,1.705197,105,7.8
3/16/2003,16,13691,Piglet's Big Movie,1.468433,47,6
8/12/2011,35,75680,The PHD movie,1.111871,5,6.7
10/24/2008,27,14686,Midnight Movie,1.127339,12,5.6
5/23/2014,12,245685,Postman Pat: The Movie,1.678113,14,5.1
1/23/2008,35,62737,The Best Movie,1.215872,7,2.7
4/6/2013,18,322839,The Rakugo Movie,1.21337,0,0
8/11/2011,99,67675,Glee: The Concert Movie,1.661574,61,6.5
6/24/1983,18,15301,Twilight Zone: The Movie,1.643298,105,6.3
7/29/2011,35,66923,Horrid Henry: The Movie,1.615615,18,6.9
1/26/2017,80,448898,Breaking Bad: The Movie,1.6,1,10
7/8/2000,12,10991,Pokémon: Spell of the Unown,1.596405,89,5.7
12/3/2014,10751,298533,Corner Gas: The Movie,1.166274,14,5.5
4/9/1992,,392172,Robert's Movie,1.000003,0,0
7/10/2008,18,27258,Home Movie,1.057151,28,5.3
3/13/1983,12,447379,Aesop's Fables Movie,1.00405,0,0
1/20/2001,28,13273,Shenmue: The Movie,1.000837,2,4
,,75082,Movie error,1.045,0,0
9/21/2017,28,274862,The LEGO Ninjago Movie,1.545166,2,0
11/19/2010,,60207,Liefling The Movie,1.133616,3,4.7
10/18/2002,,125951,Road Movie,1.023138,2,6
4/27/2003,35,27748,15: The Movie,1.022987,6,4.6
12/15/1977,99,14336,ABBA - The Movie,1.371999,12,6.3
7/14/1984,878,143823,Choudenshi Bioman: The Movie,1.123225,0,0
3/26/1999,16,16508,Doug's 1st Movie,1.319626,17,5.2
12/25/2013,10751,264357,Sune på bilsemester,1.115009,3,4.2
8/10/1978,53,91219,Blue Movie,1.0222,2,5.5
1/1/2012,,279058,b movie,1.021711,0,0
6/14/1969,,242423,Blue Movie,1.020327,2,6.5
12/15/2007,16,35883,Tamagotchi: The Movie,1.004476,1,5
12/28/2012,99,372759,Genius - The Movie,1.003956,1,10
8/12/2006,,37803,The Movie Tokyo Friends: The Movie,1.003444,1,8
11/29/2012,27,270905,Knock - The Movie,1.003366,0,0
1/1/2014,,271016,Bombay Movie,1.016221,0,0
3/4/2006,16,9551,Dieter - The Movie,1.001416,6,3
6/6/2006,16,29950,Flag: Issenman no kufura no kiroku,1.000878,3,4.2
12/26/1994,,139121,Midnight Movie,1.014841,0,0
11/25/1998,35,70964,Beach Movie,1.01314,1,6
10/27/2017,35,434204,Movie Dudes,1.012026,0,0
11/27/1981,35,288371,Number Please? The Movie,1.1,0,0
4/14/1990,,319298,Ultra Q: The Movie,1.0993,0,0
1/1/1979,,417692,Disaster Movie,1.010125,0,0
1/1/1992,35,448288,Movie Madness,1.009,0,0
7/4/1931,35,213016,Movie-Town,1.023508,0,0
10/25/2005,27,72963,Zombie Movie,1.005616,4,6.8
9/18/2009,12,37438,"Road, Movie",1.004562,0,0
5/8/2015,99,346149,Arab Movie,1.003944,0,0
4/20/2013,35,439174,Blunt Movie,1.003541,1,2
5/10/2013,35,320163,Short Movie,1.002713,1,10
11/7/2008,35,15616,Private Valentine: Blonde & Dangerous,1.477924,23,5.5
1/1/1986,,422076,Home Movie,1.002025,0,0
2/14/1987,53,45489,Sukeban Deka The Movie,1.089259,0,0
10/31/2013,,380129,Hollywood Movie,1.001722,0,0
12/23/2011,,316841,Chaloo Movie,1.001644,1,10
6/1/2013,10749,412693,Awesome Movie,1.001572,0,0
1/1/2008,27,27789,Splatter Movie,1.001517,0,0
8/20/2006,,345373,Road Movie,1.00147,0,0
9/21/2007,,187334,Aquarion Movie,1.001031,0,0
4/14/2005,,40859,Árido Movie,1.000861,2,6
12/29/2006,35,75678,Big Movie,1.000707,2,5.8
1/1/2008,,401819,Guillaume Movie,1.000677,0,0
9/18/2008,27,432844,Monster Movie,1.000642,1,5
3/25/2011,12,60803,The Suite Life Movie,1.4751,79,5.4
1/19/2009,,145526,Magnetic Movie,1.000597,0,0
4/7/1958,99,128682,A Movie,1.000558,10,7.3
8/28/1931,,162714,Movie Mad,1.000479,1,7
1/1/1972,,434348,House Movie,1.000405,0,0
7/9/1944,35,101541,Movie Pests,1.000327,0,0
9/5/1967,,219561,Marvo Movie,1.000323,1,10
1/1/2000,,48322,Ski Movie,1.000323,0,0
8/22/2004,35,160960,Elevator Movie,1.000305,1,5
2/20/1936,35,115805,Movie Maniacs,1.000294,3,4.7
6/9/2004,35,410292,Real Movie,1.000287,0,0
1/1/2005,,410883,Monster Movie,1.000286,0,0
9/23/1932,35,53522,Movie Crazy,1.000276,1,0
1/1/1975,,359462,3D Movie,1.000273,0,0
1/1/2001,35,47924,Home Movie,1.000261,1,6
1/1/1966,,334998,Word Movie,1.000174,2,8
3/14/1994,,283569,Blue Movie,1.000168,0,0
1/1/2001,99,230261,Ouarzazate Movie,1.000156,0,0
11/6/1951,,235968,Movie Madness,1.00015,0,0
1/1/2000,,292005,Italian Movie,1.000144,0,0
1/1/2000,,389984,Private Movie,1.000144,0,0
8/31/1934,,289936,Movie Memories,1.000143,0,0
2/8/1933,,440482,Movie Memories,1.000143,0,0
9/30/1977,,362051,Father Movie,1.000121,0,0
2/3/1974,18,215749,Road Movie,1.00004,1,7
1/1/1985,10402,297072,Worm Movie,1.000005,1,5
,35,406074,Vaibhav Movie,1,0,0
,,396820,Popular Movie,1,0,0
,,381991,movie riview,1,0,0
1/1/1978,,381980,Still Movie,1,0,0
,,440964,Movie Tote,1,0,0
,,392617,movie 1,1,0,0
,35,406074,Vaibhav Movie,1,0,0
,,396820,Popular Movie,1,0,0
,,392490,Movie Info,1,0,0
8/3/2017,35,378236,The Emoji Movie,1.46408,0,0
12/16/2010,35,48748,Klown,1.311863,39,6.4
2/9/2013,16,271948,Star Driver the Movie,1.067215,0,0
5/8/1939,10402,342885,Movie-Mania,1.000143,0,0
,,405247,Expanded Movie,1,0,0
8/21/2015,10751,339669,Blinky Bill the Movie,1.422618,5,5.8
11/4/2016,16,412381,Majestic Prince Movie,1.043455,0,0
4/20/2010,16,36736,The Drawn Together Movie: The Movie!,1.268862,32,6.5
10/9/2014,18,303515,The Movie about Alekseev,1.034567,6,6
9/18/2015,16,347186,Haikyuu!! Movie 2: Shousha to Haisha,1.941387,0,0
3/8/2003,35,57248,The Movie Hero,1.032966,5,6
4/1/2017,,429765,Dance Academy: The Movie,1.393222,0,0
9/5/2013,10402,219073,Ruk Jub Jai - The Movie,1.267412,1,6
7/21/2017,16,440362,Seitokai Yakuindomo Movie,1.023891,0,0
12/10/2016,,415287,Monster Strike The Movie,1.02359,0,0
11/11/2014,28,302540,Moto 6: The Movie,1.023562,0,0
5/18/2012,99,80215,Indie Game: The Movie,1.369815,172,7.4
2/22/2016,99,342424,The Movie about Copyswede,1.014281,0,0
9/19/2016,,443530,The Summer Movie,1.012924,0,0
5/3/2016,12,428136,1985 The Movie,1.007333,1,9
12/20/2013,16,230599,Moshi Monsters: The Movie,1.006957,1,6.5
2/22/2014,28,438519,Kamen Teacher the Movie,1.006777,0,0
11/5/2012,,145146,Moto 4: The Movie,1.00637,0,0
4/30/2015,,306782,$2 Tuesdays The Movie,1.005325,1,0
3/6/2009,10402,21535,Orps: The Movie,1.353575,2,4.8
3/2/2010,27,60667,Dead Rising: The Movie,1.005108,1,6
11/27/2015,14,423239,Heavysaurs the Movie,1.004973,0,0
5/5/2007,35,320456,The Yakiniku Movie: Bulgogi,1.004224,0,0
10/21/2014,12,300743,Shred Bots The Movie,1.004044,0,0
9/13/2014,16,287098,Cardfight!! Vanguard the Movie,1.003702,0,0
1/1/1992,,131223,Junk Movie,1.003623,2,7.5
11/10/2007,,254886,Martín Fierro: The Movie,1.003329,0,0
1/20/2011,53,237449,The 4 Movie,1.003219,1,6
12/23/1999,16,68537,Kochikame: The Movie,1.002781,0,0
12/10/2014,,313835,Movie for Two,1.002768,0,0
3/16/2007,18,156253,Lola: The Movie,1.002511,3,4
3/6/2009,10402,21535,Orps: The Movie,1.353575,2,4.8
7/10/2013,99,185407,Israel: A Home Movie,1.00232,0,0
11/9/2013,18,321968,Gekijouban Bad Boys J: Saigo ni mamorumono,1.002163,0,0
4/26/2014,18,343699,Partners: The Movie III,1.002161,0,0
11/21/2013,18,426417,Novel Meets Movie,1.002139,0,0
1/1/1977,10402,41384,Grateful Dead: The Grateful Dead Movie,1.002127,6,7.8
3/14/1986,878,440442,Choushinsei Flashman: The Movie,1.002025,0,0
5/1/2008,80,434990,Aibou the Movie,1.001574,0,0
7/6/2013,,353941,アリスインプロジェクト the MOVIE,1.001572,0,0
11/21/2009,,223646,Abashiri Family The Movie,1.001395,2,3
1/1/1995,28,68835,Prisoner Maria: The Movie,1.001368,1,6
2/27/2010,,62423,Saru Lock: The Movie,1.001286,1,7
4/8/2011,18,62258,Storm the Animated Movie,1.001181,6,7.3
11/24/2005,18,79832,Rainbow Boys: The Movie,1.001133,0,0
10/10/2009,27,49761,Unrated: The Movie,1.001119,0,0
11/14/2007,,244754,Upa! An Argentinian Movie,1.001013,1,5
9/9/2008,10751,73236,Cats: The Movie!,1.000899,0,0
9/21/2010,,316265,"Gretchen, Road Movie",1.000861,2,7
12/23/2010,80,439056,Partners: The Movie II,1.000858,0,0
6/2/2010,18,439649,Neko Taxi the Movie,1.000717,0,0
4/4/2006,35,335617,Mobile Detective: The Movie,1.000671,0,0
12/9/2008,10402,376943,A simple movie,1.000572,0,0
7/14/2006,10769,342788,Red: The Movie,1.000566,1,4
4/12/2002,35,201319,Fun Movie,1.000412,0,0
7/25/1986,16,23504,Robotech: The Movie,1.000345,1,4
5/1/2005,99,52831,One: The Movie,1.000287,0,0
8/2/1997,99,101348,Timeless Bottomless Bad Movie,1.000148,1,8
1/1/1978,35,56406,Those Wonderful Movie Cranks,1.000037,2,5.3
7/9/1987,10402,348047,Movie Clip,1.000006,0,0
,18,341244,A Movie Life,1.000002,0,0
